"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5"
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-10",,,,"0.00","0.0","0.0",,"96","68",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-11",,,,"0.00","0.0","0.0",,"95","75",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-12",,,,"0.00","0.0","0.0",,"96","75",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-13",,,,"0.00","0.0","0.0",,"98","76",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-14",,,,"0.00","0.0","0.0",,"100","75",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-15",,,,"0.00","0.0","0.0",,"100","76",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-16",,,,"0.00","0.0","0.0",,"89","61",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-17",,,,"0.00","0.0","0.0",,"92","51",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-18",,,,"1.62","0.0","0.0",,"102","64",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-19",,,,"0.00","0.0","0.0",,"90","65",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-20",,,,"0.00","0.0","0.0",,"100","71",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-21",,,,"0.00","0.0","0.0",,"96","74",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-22",,,,"0.00","0.0","0.0",,"95","74",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-23",,,,"0.00","0.0","0.0",,"98","79",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-24",,,,"0.00","0.0","0.0",,"99","79",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-25",,,,"0.00","0.0","0.0",,"99","80",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-26",,,,"0.00","0.0","0.0",,"99","77",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-27",,,,"0.00","0.0","0.0",,"98","76",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-28",,,,"0.00","0.0","0.0",,"100","76",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-29",,,,"0.00","0.0","0.0",,"102","75",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-06-30",,,,"0.00","0.0","0.0",,"100","73",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-01",,,,"0.00","0.0","0.0",,"99","73",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-02",,,,"0.42","0.0","0.0",,"100","70",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-03",,,,"0.00","0.0","0.0",,"89","66",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-04",,,,"0.00","0.0","0.0",,"91","57",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-05",,,,"0.00","0.0","0.0",,"98","65",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-06",,,,"0.00","0.0","0.0",,"100","77",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-07",,,,"0.12","0.0","0.0",,"83","55",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-08",,,,"0.00","0.0","0.0",,"84","51",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-09",,,,"0.00","0.0","0.0",,"92","50",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-10",,,,"0.00","0.0","0.0",,"97","63",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-11",,,,"0.00","0.0","0.0",,"96","64",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-12",,,,"0.00","0.0","0.0",,"99","72",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-13",,,,"0.00","0.0","0.0",,"96","72",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-14",,,,"0.55","0.0","0.0",,"77","61",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-15",,,,"0.31","0.0","0.0",,"77","59",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-16",,,,"0.00","0.0","0.0",,"93","68",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-17",,,,"0.00","0.0","0.0",,"87","69",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-18",,,,"0.00","0.0","0.0",,"93","73",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-19",,,,"0.00","0.0","0.0",,"95","75",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-20",,,,"0.00","0.0","0.0",,"97","77",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-21",,,,"0.00","0.0","0.0",,"100","79",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-22",,,,"0.02","0.0","0.0",,"101","71",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-23",,,,"0.00","0.0","0.0",,"93","69",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-24",,,,"0.00","0.0","0.0",,"101","63",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-25",,,,"0.00","0.0","0.0",,"104","76",,,,,,
"USW00003919","SALINA MUNICIPAL AIRPORT, KS US","1952-07-26",,,,"0.00","0.0","0.0",,"107","69",,,,,,
